property_name,area_type,property_type,status,furnishing,facing,description,price,price_num,square_feet,price_per_sqft,floor_info,max_floors
2 BHK Apartment for Sale in Althan Surat,Super Area,New Property,Poss. by Dec '26,Unfurnished,East,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more",₹48 Lac ,4800000.0,1305.0,3678.0,5.0,12.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,Resale,Ready to Move,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 45.0 Lac(s)Read more",₹45 Lac ,4500000.0,1290.0,3488.0,5.0,13.0
2 BHK Apartment for Sale in Bamroli Surat,Super Area,New Property,Poss. by Apr '25,Unfurnished,South - East,2 BHK Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read more,₹32 Lac ,3200000.0,975.0,3282.0,6.0,13.0
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,New Property,Ready to Move,Unfurnished,East,2 BHK Flat For sell In Jaahngirabad Prime Area With All Aminities.Read more,₹35 Lac ,3500000.0,1250.0,2800.0,7.0,14.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,Resale,Ready to Move,Unfurnished,North - East,"2 bhk flat for rent, It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. Indeed, the society too has for enjoyment, such as club housecommunity center, and security personnel etc, Other facilities include intercom facility, lift  and park etc.Read more",₹47 Lac ,4700000.0,1558.0,3017.0,1.0,5.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,New Property,Ready to Move,Unfurnished,East,"4 balconies per flat Basement Parking  Indoor play and function area passage Clubhouse size passage       Area space per floorPlaning As per VastuMultipurpose Sports AreaGazebo seating24x7 security surveillanceSolar Panel inbuilt for low Maintenance life timeMultipurpose Play Court     Cricket, Badminton, basketball,      volleyballLandscape gardenOpen Big Campus Area   party space and many more..Read more",₹38.5 Lac ,3850000.0,727.0,3075.0,7.0,13.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,Resale,Ready to Move,Unfurnished,East,2 BHK  3 BHK  apartments at palanpur. with all amenities best location for best deal callRead more,₹50 Lac ,5000000.0,1326.0,3771.0,9.0,14.0
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,Resale,Ready to Move,Unfurnished,East,"Near new dmart. Decent for leaving,  regular water supply, the perfect home for familynear new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmartRead more",₹36.5 Lac ,3650000.0,1178.0,3099.0,10.0,14.0
2 BHK Apartment for Sale in Bamroli Surat,Carpet Area,New Property,Poss. by Jan '26,Unfurnished,East,"2 bhk available for salewith morden aminitis like garden, gym,pool, temple, tracking,prime locationmain road center of surateverything is near by contact us for more details.Read more",₹46.5 Lac ,4650000.0,680.0,3747.0,6.0,14.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,Resale,Ready to Move,Semi-Furnished,East,Near upcoming metro station. Also near to city bus stop and hospitalRead more,₹32 Lac ,3200000.0,721.0,2936.0,3.0,5.0
2 BHK Apartment for Sale in Swagat Home Surat,Carpet Area,Resale,Poss. by Dec '24,Unfurnished,East,Swagat Home,₹33.5 Lac ,3350000.0,545.0,3451.0,13.0,14.0
1 BHK Apartment for Sale in Palanpur Surat,Super Area,New Property,Poss. by Aug '25,Unfurnished,East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,₹28.5 Lac ,2850000.0,813.0,3507.0,4.0,14.0
